Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 10.54.42.556 AM,Total Frames in Take,868,Total Exported Frames,868,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004
,ID,"C3B20","C3B20","C3B20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
257,1.028000,-0.003251,0.006851,1.441338
258,1.032000,-0.003232,0.006857,1.441328
259,1.036000,-0.003229,0.006866,1.441345
260,1.040000,-0.003279,0.006830,1.441348
261,1.044000,-0.003234,0.006859,1.441335
262,1.048000,-0.003239,0.006886,1.441355
263,1.052000,-0.003217,0.006892,1.441340
264,1.056000,-0.003230,0.006874,1.441338
265,1.060000,-0.003233,0.006890,1.441341
266,1.064000,-0.003236,0.006879,1.441349
267,1.068000,-0.003223,0.006897,1.441322
268,1.072000,-0.003228,0.006877,1.441357
269,1.076000,-0.003242,0.006883,1.441351
270,1.080000,-0.003231,0.006884,1.441333
271,1.084000,-0.003232,0.006875,1.441363
272,1.088000,-0.003231,0.006883,1.441338
273,1.092000,-0.003275,0.006847,1.441345
274,1.096000,-0.003261,0.006841,1.441333
275,1.100000,-0.003239,0.006889,1.441360
276,1.104000,-0.003232,0.006866,1.441348
277,1.108000,-0.003238,0.006888,1.441342
278,1.112000,-0.003275,0.006864,1.441339
279,1.116000,-0.003229,0.006887,1.441328
280,1.120000,-0.003220,0.006882,1.441353
281,1.124000,-0.003226,0.006877,1.441351
282,1.128000,-0.003199,0.006913,1.441353
283,1.132000,-0.003233,0.006883,1.441364
284,1.136000,-0.003214,0.006898,1.441347
285,1.140000,-0.003217,0.006916,1.441354
286,1.144000,-0.003211,0.006903,1.441332
287,1.148000,-0.003243,0.006864,1.441356
288,1.152000,-0.003231,0.006872,1.441361
289,1.156000,-0.003260,0.006846,1.441339
290,1.160000,-0.003264,0.006842,1.441343
291,1.164000,-0.003246,0.006846,1.441347
292,1.168000,-0.003233,0.006875,1.441360
293,1.172000,-0.003249,0.006882,1.441341
294,1.176000,-0.003224,0.006899,1.441351
295,1.180000,-0.003220,0.006918,1.441333
296,1.184000,-0.003241,0.006878,1.441337
297,1.188000,-0.003205,0.006906,1.441342
298,1.192000,-0.003253,0.006880,1.441338
299,1.196000,-0.003261,0.006866,1.441342
300,1.200000,-0.003258,0.006827,1.441357
301,1.204000,-0.003216,0.006879,1.441344
302,1.208000,-0.003236,0.006887,1.441360
303,1.212000,-0.003224,0.006901,1.441347
304,1.216000,-0.003244,0.006876,1.441338
305,1.220000,-0.003246,0.006879,1.441337
306,1.224000,-0.003260,0.006857,1.441346
307,1.228000,-0.003221,0.006880,1.441360
308,1.232000,-0.003238,0.006871,1.441332
309,1.236000,-0.003217,0.006883,1.441353
310,1.240000,-0.003225,0.006890,1.441349
311,1.244000,-0.003244,0.006889,1.441343
312,1.248000,-0.003239,0.006887,1.441343
313,1.252000,-0.003251,0.006884,1.441344
314,1.256000,-0.003215,0.006913,1.441336
315,1.260000,-0.003234,0.006895,1.441341
316,1.264000,-0.003208,0.006889,1.441344
317,1.268000,-0.003253,0.006858,1.441360
318,1.272000,-0.003238,0.006858,1.441338
319,1.276000,-0.003248,0.006850,1.441349
320,1.280000,-0.003235,0.006849,1.441340
321,1.284000,-0.003247,0.006843,1.441342
322,1.288000,-0.003255,0.006880,1.441343
323,1.292000,-0.003251,0.006885,1.441340
324,1.296000,-0.003189,0.006933,1.441357
325,1.300000,-0.003222,0.006905,1.441348
326,1.304000,-0.003223,0.006906,1.441354
327,1.308000,-0.003221,0.006904,1.441342
328,1.312000,-0.003248,0.006852,1.441349
329,1.316000,-0.003233,0.006873,1.441336
330,1.320000,-0.003230,0.006875,1.441355
331,1.324000,-0.003244,0.006871,1.441345
332,1.328000,-0.003242,0.006880,1.441351
333,1.332000,-0.003238,0.006884,1.441357
334,1.336000,-0.003214,0.006902,1.441352
335,1.340000,-0.003227,0.006865,1.441351
336,1.344000,-0.003222,0.006872,1.441348
337,1.348000,-0.003268,0.006853,1.441348
338,1.352000,-0.003246,0.006876,1.441345
339,1.356000,-0.003210,0.006902,1.441356
340,1.360000,-0.003225,0.006884,1.441345
341,1.364000,-0.003211,0.006894,1.441344
342,1.368000,-0.003210,0.006905,1.441353
343,1.372000,-0.003199,0.006912,1.441343
344,1.376000,-0.003219,0.006883,1.441346
345,1.380000,-0.003214,0.006895,1.441348
346,1.384000,-0.003218,0.006889,1.441359
347,1.388000,-0.003221,0.006870,1.441337
348,1.392000,-0.003201,0.006896,1.441353
349,1.396000,-0.003209,0.006882,1.441340
350,1.400000,-0.003230,0.006850,1.441342
351,1.404000,-0.003216,0.006868,1.441339
352,1.408000,-0.003193,0.006896,1.441349
353,1.412000,-0.003226,0.006858,1.441347
354,1.416000,-0.003185,0.006896,1.441355
355,1.420000,-0.003181,0.006908,1.441367
356,1.424000,-0.003198,0.006897,1.441362
357,1.428000,-0.003205,0.006876,1.441343
358,1.432000,-0.003199,0.006904,1.441344
359,1.436000,-0.003174,0.006898,1.441338
360,1.440000,-0.003253,0.006838,1.441335
361,1.444000,-0.003193,0.006863,1.441344
362,1.448000,-0.003193,0.006876,1.441356
363,1.452000,-0.003181,0.006880,1.441344
364,1.456000,-0.003184,0.006878,1.441354
365,1.460000,-0.003192,0.006883,1.441343
366,1.464000,-0.003155,0.006938,1.441351
367,1.468000,-0.003160,0.006909,1.441351
368,1.472000,-0.003177,0.006915,1.441335
369,1.476000,-0.003171,0.006893,1.441338
370,1.480000,-0.003190,0.006865,1.441361
371,1.484000,-0.003183,0.006879,1.441357
372,1.488000,-0.003192,0.006891,1.441361
373,1.492000,-0.003132,0.006922,1.441363
374,1.496000,-0.003164,0.006914,1.441353
375,1.500000,-0.003160,0.006895,1.441344
376,1.504000,-0.003148,0.006934,1.441349
377,1.508000,-0.003192,0.006882,1.441348
378,1.512000,-0.003177,0.006892,1.441349
379,1.516000,-0.003162,0.006917,1.441348
380,1.520000,-0.003200,0.006874,1.441361
381,1.524000,-0.003179,0.006895,1.441341
382,1.528000,-0.003185,0.006876,1.441350
383,1.532000,-0.003164,0.006883,1.441348
384,1.536000,-0.003170,0.006916,1.441340
385,1.540000,-0.003126,0.006939,1.441360
386,1.544000,-0.003160,0.006901,1.441359
387,1.548000,-0.003190,0.006905,1.441339
388,1.552000,-0.003160,0.006919,1.441352
389,1.556000,-0.003220,0.006846,1.441350
390,1.560000,-0.003175,0.006891,1.441346
391,1.564000,-0.003180,0.006880,1.441359
392,1.568000,-0.003195,0.006879,1.441348
393,1.572000,-0.003200,0.006853,1.441343
394,1.576000,-0.003150,0.006918,1.441363
395,1.580000,-0.003177,0.006895,1.441337
396,1.584000,-0.003144,0.006922,1.441369
397,1.588000,-0.003179,0.006898,1.441353
398,1.592000,-0.003160,0.006896,1.441356
399,1.596000,-0.003153,0.006911,1.441363
