Format Version,1.23,Take Name,Take 2020-10-13 01.30.33 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-10-13 01.30.34.331 PM,Total Frames in Take,5923,Total Exported Frames,5923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000
,ID,"C3530","C3530","C3530"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
1093,3.036111,,,
1094,3.038889,,,
1095,3.041667,,,
1096,3.044444,,,
1097,3.047222,,,
1098,3.050000,,,
1099,3.052778,,,
1100,3.055556,,,
1101,3.058333,,,
1102,3.061111,,,
1103,3.063889,,,
1104,3.066667,,,
1105,3.069444,,,
1106,3.072222,,,
1107,3.075000,,,
1108,3.077778,,,
1109,3.080556,,,
1110,3.083333,,,
1111,3.086111,,,
1112,3.088889,,,
1113,3.091667,,,
1114,3.094444,,,
1115,3.097222,,,
1116,3.100000,,,
1117,3.102778,,,
1118,3.105556,,,
1119,3.108333,,,
1120,3.111111,,,
1121,3.113889,,,
1122,3.116667,,,
1123,3.119444,,,
1124,3.122222,,,
1125,3.125000,,,
1126,3.127778,,,
1127,3.130556,,,
1128,3.133333,,,
1129,3.136111,,,
1130,3.138889,,,
1131,3.141667,,,
1132,3.144444,,,
1133,3.147222,,,
1134,3.150000,,,
1135,3.152778,,,
1136,3.155556,,,
1137,3.158333,,,
1138,3.161111,,,
1139,3.163889,,,
1140,3.166667,,,
1141,3.169444,,,
1142,3.172222,,,
1143,3.175000,,,
1144,3.177778,,,
1145,3.180556,,,
1146,3.183333,,,
1147,3.186111,,,
1148,3.188889,,,
1149,3.191667,,,
1150,3.194444,,,
1151,3.197222,,,
1152,3.200000,,,
1153,3.202778,,,
1154,3.205556,,,
1155,3.208333,,,
1156,3.211111,,,
1157,3.213889,,,
1158,3.216667,,,
1159,3.219444,,,
1160,3.222222,,,
1161,3.225000,,,
1162,3.227778,,,
1163,3.230556,,,
1164,3.233333,,,
1165,3.236111,,,
1166,3.238889,,,
1167,3.241667,,,
1168,3.244444,,,
1169,3.247222,,,
1170,3.250000,,,
1171,3.252778,,,
1172,3.255556,,,
1173,3.258333,,,
1174,3.261111,,,
1175,3.263889,,,
1176,3.266667,,,
1177,3.269444,,,
1178,3.272222,,,
1179,3.275000,,,
1180,3.277778,,,
1181,3.280556,,,
1182,3.283333,,,
1183,3.286111,,,
1184,3.288889,,,
1185,3.291667,,,
1186,3.294444,,,
1187,3.297222,,,
1188,3.300000,,,
1189,3.302778,,,
1190,3.305556,,,
1191,3.308333,,,
1192,3.311111,,,
1193,3.313889,,,
1194,3.316667,,,
1195,3.319444,,,
1196,3.322222,,,
1197,3.325000,,,
1198,3.327778,,,
1199,3.330556,,,
1200,3.333333,,,
1201,3.336111,,,
1202,3.338889,,,
1203,3.341667,,,
1204,3.344444,,,
1205,3.347222,,,
1206,3.350000,,,
1207,3.352778,,,
1208,3.355556,,,
1209,3.358333,,,
1210,3.361111,,,
1211,3.363889,,,
1212,3.366667,,,
1213,3.369444,,,
1214,3.372222,,,
1215,3.375000,,,
1216,3.377778,,,
1217,3.380556,,,
1218,3.383333,,,
1219,3.386111,,,
1220,3.388889,,,
1221,3.391667,,,
1222,3.394444,,,
1223,3.397222,,,
1224,3.400000,,,
1225,3.402778,,,
1226,3.405556,,,
1227,3.408333,,,
1228,3.411111,,,
1229,3.413889,,,
1230,3.416667,,,
1231,3.419444,,,
1232,3.422222,,,
1233,3.425000,,,
1234,3.427778,,,
1235,3.430556,,,
1236,3.433333,,,
1237,3.436111,,,
1238,3.438889,,,
1239,3.441667,,,
1240,3.444444,,,
1241,3.447222,,,
1242,3.450000,,,
1243,3.452778,,,
1244,3.455556,,,
1245,3.458333,,,
1246,3.461111,,,
1247,3.463889,,,
1248,3.466667,,,
1249,3.469444,,,
1250,3.472222,,,
1251,3.475000,,,
1252,3.477778,,,
1253,3.480556,,,
1254,3.483333,,,
1255,3.486111,,,
1256,3.488889,,,
1257,3.491667,,,
1258,3.494444,,,
1259,3.497222,,,
1260,3.500000,,,
1261,3.502778,,,
1262,3.505556,,,
1263,3.508333,,,
1264,3.511111,,,
1265,3.513889,,,
1266,3.516667,,,
1267,3.519444,,,
1268,3.522222,,,
1269,3.525000,,,
1270,3.527778,,,
1271,3.530556,,,
